Country,Date,Population,Cases,Active,Recovered,Deaths
Afghanistan,2020-01-01,39785041,50485,5785,42648,2051
Afghanistan,2020-02-01,39785041,42071,4822,42648,1709
Afghanistan,2020-03-01,39785041,42158,4904,42650,1711
Afghanistan,2020-04-01,39785041,43156,5745,42752,1741
Afghanistan,2020-05-01,39785041,49673,11631,43179,1838
Afghanistan,2020-06-01,39785041,57829,14977,48300,2082
Afghanistan,2020-07-01,39785041,60271,12527,52727,2344
Afghanistan,2020-08-01,39785041,84776,9683,94021,3463
Afghanistan,2020-09-01,39785041,85143,8897,94021,3482
Afghanistan,2020-10-01,39785041,85862,8233,94021,3508
Afghanistan,2020-11-01,39785041,87553,9023,94021,3587
Afghanistan,2020-12-01,39785041,89558,9606,94021,3729
Afghanistan,2021-01-01,39785041,90407,9135,94021,3797
Afghanistan,2021-02-01,39785041,90632,8042,94021,3810
Afghanistan,2021-03-01,39785041,90893,7730,94021,3825
Afghanistan,2021-04-01,39785041,92035,7746,94021,3873
Afghanistan,2021-05-01,39785041,96381,10503,94021,3987
Afghanistan,2021-06-01,39785041,112126,21125,94021,4650
Afghanistan,2021-07-01,39785041,121221,22306,94021,5241
Afghanistan,2021-08-01,39785041,123141,20298,94021,5370
Afghanistan,2021-09-01,39785041,123784,18166,94021,5398
Afghanistan,2021-10-01,39785041,124137,14046,94021,5422
Afghanistan,2021-11-01,39785041,124488,13136,94021,5432
Afghanistan,2021-12-01,39785041,124753,9545,94021,5448
Afghanistan,2022-01-01,39785041,126363,9356,94021,5467
Afghanistan,2022-02-01,39785041,129973,11061,94021,5530
Afghanistan,2022-03-01,39785041,131309,9765,94021,5552
Afghanistan,2022-04-01,39785041,131680,9483,94021,5557
Afghanistan,2022-05-01,39785041,131802,9510,94021,5559
Albania,2020-01-01,2874707,57294,983,55545,765
Albania,2020-02-01,2874707,47745,819,55545,638
Albania,2020-03-01,2874707,47866,907,55566,645
Albania,2020-04-01,2874707,48131,963,55733,653
Albania,2020-05-01,2874707,48313,950,55894,654
Albania,2020-06-01,2874707,49012,1326,56128,669
Albania,2020-07-01,2874707,50251,1844,56643,712
Albania,2020-08-01,2874707,97034,2318,137490,1323
Albania,2020-09-01,2874707,98413,2779,137490,1357
Albania,2020-10-01,2874707,100821,4033,137490,1398
Albania,2020-11-01,2874707,106590,7149,137490,1498
Albania,2020-12-01,2874707,113302,8906,137490,1622
Albania,2021-01-01,2874707,119905,10749,137490,1688
Albania,2021-02-01,2874707,129585,12840,137490,1827
Albania,2021-03-01,2874707,135582,12913,137490,1973
Albania,2021-04-01,2874707,137558,11438,137490,2026
Albania,2021-05-01,2874707,137968,7180,137490,2045
Albania,2021-06-01,2874707,138037,1112,137490,2047
Albania,2021-07-01,2874707,138223,1108,137490,2047
Albania,2021-08-01,2874707,142659,4337,137490,2061
Albania,2021-09-01,2874707,150573,5278,137490,2127
Albania,2021-10-01,2874707,155630,4141,137490,2203
Albania,2021-11-01,2874707,160511,3786,137490,2260
Albania,2021-12-01,2874707,163938,3206,137490,2300
Albania,2022-01-01,2874707,180054,9120,137490,2343
Albania,2022-02-01,2874707,184384,7007,137490,2384
Albania,2022-03-01,2874707,185089,1711,137490,2392
Albania,2022-04-01,2874707,185565,1146,137490,2393
Albania,2022-05-01,2874707,185721,1113,137490,2394
Algeria,2020-01-01,44625798,65483,19531,44089,1862
Algeria,2020-02-01,44625798,54569,16276,44089,1551
Algeria,2020-03-01,44625798,54927,16589,44115,1573
Algeria,2020-04-01,44625798,56572,17164,44800,1776
Algeria,2020-05-01,44625798,59266,17857,46388,1878
Algeria,2020-06-01,44625798,61522,17825,48048,2007
Algeria,2020-07-01,44625798,68959,20422,51624,2141
Algeria,2020-08-01,44625798,114645,33808,100804,3219
Algeria,2020-09-01,44625798,116990,34435,100804,3294
Algeria,2020-10-01,44625798,119128,35154,100804,3370
Algeria,2020-11-01,44625798,127547,38881,100804,3526
Algeria,2020-12-01,44625798,133017,39804,100804,3634
Algeria,2021-01-01,44625798,135593,40263,100804,3679
Algeria,2021-02-01,44625798,137511,40565,100804,3710
Algeria,2021-03-01,44625798,138878,40748,100804,3747
Algeria,2021-04-01,44625798,140516,41144,100804,3800
Algeria,2021-05-01,44625798,142785,41773,100804,3873
Algeria,2021-06-01,44625798,146356,42835,100804,3954
Algeria,2021-07-01,44625798,156944,47182,100804,4134
Algeria,2021-08-01,44625798,165174,49033,100804,4472
Algeria,2021-09-01,44625798,167600,49307,100804,4653
Algeria,2021-10-01,44625798,168631,49516,100804,4689
Algeria,2021-11-01,44625798,169991,49898,100804,4739
Algeria,2021-12-01,44625798,172624,50585,100804,4808
Algeria,2022-01-01,44625798,183853,55951,100804,4909
Algeria,2022-02-01,44625798,188126,56772,100804,4994
Algeria,2022-03-01,44625798,188371,56757,100804,5007
Algeria,2022-04-01,44625798,188407,56745,100804,5007
Algeria,2022-05-01,44625798,188419,56751,100804,5007
Andorra,2020-01-01,77386,8801,219,8530,51
Andorra,2020-02-01,77386,7334,183,8530,42
Andorra,2020-03-01,77386,7522,360,8534,48
Andorra,2020-04-01,77386,7707,435,8717,63
Andorra,2020-05-01,77386,7716,300,8808,68
Andorra,2020-06-01,77386,7762,215,8850,68
Andorra,2020-07-01,77386,7791,211,8851,68
Andorra,2020-08-01,77386,14758,420,20924,86
Andorra,2020-09-01,77386,15050,564,20924,86
Andorra,2020-10-01,77386,15952,785,20924,93
Andorra,2020-11-01,77386,16615,773,20924,93
Andorra,2020-12-01,77386,17049,608,20924,96
Andorra,2021-01-01,77386,17679,628,20924,102
Andorra,2021-02-01,77386,17988,570,20924,105
Andorra,2021-03-01,77386,18370,542,20924,106
Andorra,2021-04-01,77386,18777,564,20924,110
Andorra,2021-05-01,77386,18942,489,20924,110
Andorra,2021-06-01,77386,19003,389,20924,110
Andorra,2021-07-01,77386,19259,476,20924,111
Andorra,2021-08-01,77386,19377,462,20924,111
